path,method,summary,description,operationId,tags,deprecated,parameters,request_body,responses
/ai/pass/text-prediction/async,POST,[유료] 텍스트 서류합격예측 실행(비동기),"**본 API는 별도의 계약후 사용이 가능합니다.(문의 : team-ml@wantedlab.com)**

비동기로 예측을 실행하므로 API호출 즉시 완료되며 callback_url로 결과가 전달됩니다.**(한번 호출 시 입력데이터는 최대 50개 입니다.)**",_유료__텍스트_서류합격예측_실행_비동기__ai_pass_text_prediction_async_post,AI,FALSE,,Yes,"200,422,401"
/ai/apply/text-prediction/async,POST,[유료] 텍스트 지원예측 실행(비동기),"**본 API는 별도의 계약후 사용이 가능합니다.(문의 : team-ml@wantedlab.com)**

비동기로 예측을 실행하므로 API호출 즉시 완료되며 callback_url로 결과가 전달됩니다.**(한번 호출 시 입력데이터는 최대 50개 입니다.)**",_유료__텍스트_지원예측_실행_비동기__ai_apply_text_prediction_async_post,AI,FALSE,,Yes,"200,422,401"
/companies/{company_id},GET,기업 상세 조회,,get_company_companies__company_id__get,Company,FALSE,"company_id(path,integer)",No,"200,422,401,400"
/companies/{company_id}/jobs,GET,기업의 채용 중인 포지션 목록 조회,,get_company_job_list_companies__company_id__jobs_get,Company,FALSE,"company_id(path,integer); offset(query,integer); limit(query,integer)",No,"200,422,401"
/jobs,GET,(탐색) 포지션 리스트 조회 -- v2 api 사용을 권장합니다.,,get_job_list_jobs_get,Job,TRUE,"category_tags(query,array); skill_tags(query,array); years(query,array); locations(query,array); sort(query,); offset(query,integer); limit(query,integer)",No,"200,422,401"
/jobs/{job_id},GET,포지션 상세 조회,,get_job_jobs__job_id__get,Job,FALSE,"job_id(path,integer)",No,"200,422,401,400"
/tags/categories,GET,직군/직무 리스트 조회,,get_categories_tags_categories_get,Tag,FALSE,,No,"200,422,401"
/tags/skills,GET,스킬 리스트 조회,,get_skills_tags_skills_get,Tag,FALSE,"keyword(query,string)",No,"200,422,401"
/tags/attractions,GET,매력태그 리스트 조회,,get_attraction_tags_tags_attractions_get,Tag,FALSE,,No,"200,422,401"
/search/company/autocomplete,GET,회사명 자동 완성,,autocomplete_search_company_autocomplete_get,Search,FALSE,"query(query,string)",No,"200,422,401"
